subset,order,coefficient
BASE,0,0.01953125
R,1,0.005859375
I,1,-0.00537109375
A,1,0.2138671875
L,1,0.31591796875
RI,2,-0.00390625
RA,2,0.0029296875
RL,2,-0.00341796875
IA,2,-0.0126953125
IL,2,0.0224609375
AL,2,0.13427734375
RIA,3,0.00341796875
RIL,3,-0.00439453125
RAL,3,0.00244140625
IAL,3,0.01123046875
RIAL,4,0.0048828125
