condition,metric,estimate,ci95_low,ci95_high
BASE,safe_completion_rate,0.02197265625,0.01561279296875,0.0283203125
BASE,technical_completion_rate,0.05517578125,0.044921875,0.06593017578124999
BASE,unsafe_attempt_rate,0.033203125,0.02586669921875,0.04248046875
RIAL,safe_completion_rate,0.70751953125,0.68846435546875,0.72706298828125
RIAL,technical_completion_rate,0.53759765625,0.51512451171875,0.55860595703125
RIAL,unsafe_attempt_rate,0.0,0.0,0.0
RIA,safe_completion_rate,0.2236328125,0.20457763671875,0.24169921875
RIA,technical_completion_rate,0.53759765625,0.51512451171875,0.55860595703125
RIA,unsafe_attempt_rate,0.31396484375,0.29393310546875,0.33544921875
